facility_id,facility_name,organization_type,specialties,procedures,equipment,capabilities,address_line1,address_line2,address_line3,city,state,country,country_code,phone_numbers,email,websites,officialWebsite,year_established,accepts_volunteers,number_doctors,capacity,description,mission_statement,affiliation_types,operator_type,facility_type,created_at,updated_at
3086dd25-3031-4669-8f2e-c5d4bc0311b0,Accra Medical Centre,facility,"[""internalMedicine""]",null,null,"[""Provides internal medicine services""]",161 Ringway Estate,Osu Osu,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:10:35.480Z,2026-03-23T18:10:35.480Z
c0d9883e-034c-47ad-8f07-29c200905450,Accra Medical Centre,facility,"[""internalMedicine""]",null,null,"[""Offers internal medicine services"",""Located at 161 Ringway Estate, Osu Osu, Accra"",""Listed as a related place with listing ID 9292 on GhanaBusinessWeb"",""Listed as related place to Iran Clinic on GhanaBusinessWeb page""]",161 Ringway Estate,Osu Osu,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:10:42.563Z,2026-03-23T18:10:42.563Z
72551c75-afcb-4c7f-b6b4-d5a35c72def4,Accra Psychiatric Hospital,facility,"[""internalMedicine"",""emergencyMedicine"",""pathology"",""physicalMedicineAndRehabilitation"",""psychiatry"",""addictionPsychiatry"",""communityAndPublicPsychiatry""]","[""Provides Electro Convulsive Therapy"",""Offers Clinical Psychology services"",""Conducts Laboratory Services"",""Performs occupational therapy services"",""Provides drug treatment and rehabilitation services""]","[""Has a 24-hour pharmacy"",""Maintains 15 wards with 300 operational beds"",""Has capacity to accommodate 600 patients""]","[""Offers 24/7 emergency care"",""Provides in-patient services"",""Offers out-patient services through OPD"",""Has Community Psychiatry Nursing Services"",""Provides Social Work Services"",""Operates a laboratory for diagnostic services""]",Castle Road,Box 1305,null,Accra,Greater Accra Region,Ghana,null,"[""0302 228688""]",info@accrapsychiatrichospital.org,"[""accrapsychiatrichospital.org""]",null,null,null,null,null,OPD services; 24hr Emergency care; in-patients services; Clinical Psychology services; Electro Convulsive Therapy; Laboratory Services; 24 hr Pharmacy; Social Work Services; Community Psychiatry Nursing Services; drug treatment & Rehab; occupational therapy services. Bed state: 15 wards with the capacity to accommodate 600 patients; currently running 300 beds due to Covid-19. Opening Hours: 24 hr Services. Visiting Hours: Mon–Sun 6AM–8PM.,null,null,null,null,2026-03-23T18:10:48.747Z,2026-03-23T18:10:48.747Z
6cb95d3b-34b2-4354-ad7d-08dba6345cb8,Accra Newtown Islamic Hospital,facility,"[""internalMedicine"",""ophthalmology"",""nephrology"",""generalSurgery"",""radiology"",""pathology"",""anesthesia"",""hepatopancreatobiliarySurgery"",""clinicalPathology""]","[""Provides ultrasound scanning"",""Provides X-ray imaging"",""Offers major and minor surgeries in an ultra-modern theatre"",""Performs laboratory testing 24/7"",""Performs laboratory testing (24/7)""]","[""Has an ultra-modern operating theatre"",""On-site laboratory facilities"",""Ultra-modern operating theatre""]","[""Conducts laboratory tests 24/7"",""Offers pharmacy services 24/7"",""Has a Dialysis Center on site"",""Supports appointment scheduling and medical record access through the ANIH app"",""Has insurance partnerships with Metro, Glico, Star, ACE Medical, and NHIS"",""Laboratory tests conducted 24/7"",""Pharmacy services available 24/7"",""Dialysis Center on site"",""ANIH app enables appointment scheduling and access to medical records"",""Insurance partnerships with Metro, Glico, Star, ACE Medical, and NHIS""]",Obaakrowa Close,null,null,Accra Newtown,null,Ghana,null,"[""+233302229301"",""+233576638624""]",null,null,null,null,null,null,null,Modern Healthcare for everybody. We do all types of laboratory test 24/7. Ultra modern theatre for Major and Minor surgeries. 24 / 7 Dispensary for all types of medications.,null,null,null,hospital,2026-03-23T18:10:51.885Z,2026-03-23T18:10:51.885Z
6c1a5964-3b1e-4943-85e9-9d009689a107,Abura Health Centre,facility,"[""internalMedicine"",""familyMedicine""]",null,null,"[""Offers general medical services"",""NHIS accredited"",""Government-owned health centre"",""Abura Health Centre is a Government-owned Health Centre."",""Location: P.O.BOX 49, DHA, ABURA."",""Telephone: 020-926-187-3."",""Services: General."",""NHIS accredited: yes""]",P.O. Box 49,DHA,ABURA,Abura,null,Ghana,null,"[""+233209261873""]",null,null,null,null,null,null,null,Health Centre offering general services; government-owned; NHIS accredited,null,null,null,null,2026-03-23T18:10:56.387Z,2026-03-23T18:10:56.387Z
29a28abb-5523-42f0-9079-3d796517df35,Accra Psychiatric Hospital,facility,"[""internalMedicine"",""psychiatry""]",null,null,"[""Provides mental health services"",""Always open"",""Offers psychiatry services"",""Offers internal medicine services"",""Located on Castle Road, Accra, Ghana."",""Provides mental health services."",""Phone: +233 57 769 0753."",""Email: info@accrapsychiatrichospital.org."",""Website: accrapsychiatrichospital.org."",""Always open.""]",Castle Road,null,null,Accra,Greater Accra Region,Ghana,null,"[""+233577690753""]",info@accrapsychiatrichospital.org,"[""accrapsychiatrichospital.org""]",null,null,null,null,null,null,null,null,null,null,2026-03-23T18:11:00.075Z,2026-03-23T18:11:00.075Z
26b488e8-cf75-4934-9f2a-9086357b0316,Accra Physiotherapy & Sports Injury Clinic,facility,"[""physicalMedicineAndRehabilitation"",""sportsMedicinePMR""]",null,null,"[""Provides sports medicine services"",""Offers physiotherapy services"",""Specializes in physical medicine and rehabilitation (PMR)"",""Located at 127/21 Saflo Link, Abelemkpe, Accra, Ghana"",""Listed in GhanaBusinessWeb as Accra Physiotherapy & Sports Injury Clinic in Health Clinics category""]",127/21 Saflo Link,Abelemkpe,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:11:00.331Z,2026-03-23T18:11:00.331Z
e217ce16-b379-4d49-892c-760cc5f6957e,Accra Specialist Eye Hospital,facility,"[""ophthalmology"",""internalMedicine""]","[""Provides ophthalmology services""]",null,"[""Specializes in ophthalmology"",""Offers eye care services"",""Has internal medicine specialists on staff"",""Eye hospital specializing in ophthalmology"",""Located at 49 Nii Ayi Kushie St, Tantra Hill, Ghana"",""Phone number +233 50 006 0545"",""Email info@accraspecialisteye.com""]",49 Nii Ayi Kushie St,Tantra Hill,null,null,null,Ghana,null,"[""+233500060545""]",info@accraspecialisteye.com,"[""accraspecialisteye.com""]",null,null,null,null,null,We're an eye specialist hospital dedicated to providing the best care for you and your eyes.,null,null,null,null,2026-03-23T18:11:01.202Z,2026-03-23T18:11:01.202Z
fd787501-bc4d-4fd5-b7c6-44d749bf4bf1,Achiase Health Centre,facility,"[""familyMedicine""]",null,null,"[""Provides general services"",""Has NHIS accreditation"",""Is a government-owned health centre"",""Offers services as a health centre"",""ACHIASE HEALTH CENTRE is a government-owned health centre located in ACHIASE."",""Type: HEALTH CENTRE."",""Location: ACHIASE."",""Ownership: GOVERNMENT."",""Telephone numbers: 0244-531142 and 020-2490199."",""Services provided: General."",""NHIS accreditation: yes.""]",Achiase,null,null,null,null,Ghana,null,"[""+233244531142"",""+233202490199""]",null,null,null,null,null,null,null,General,null,null,null,null,2026-03-23T18:11:11.034Z,2026-03-23T18:11:11.034Z
87c463b8-0f1e-410a-bd84-50b2ee306e4f,Acrecity Medics,facility,"[""gynecologyAndObstetrics"",""pediatrics"",""otolaryngology"",""internalMedicine"",""ophthalmology"",""generalSurgery"",""orthopedicSurgery"",""pathology"",""radiology"",""clinicalPsychology"",""dermatology"",""dietetics"",""urology""]","[""Provides diagnostic imaging services"",""Provides in-house laboratory services""]",null,"[""Offers GP & Specialist Clinics"",""Provides Diagnostics"",""Offers Travel & Immunisation services"",""Has an on-site dispensary"",""Provides Medical Tourism services"",""Hosts Healthcare Events"",""Has specialist clinics for Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics"",""Provides complimentary tailored medication consultations and drug interaction checks by in-house pharmacists"",""Location: Suite G05 Nester Square, Airport City, Accra, Ghana"",""Serves Airport City and the Greater Accra Metropolis"",""Opening hours: Monday–Friday 08:00–19:00; Saturday 09:00–14:00"",""Offers GP & Specialist Clinics; Diagnostics; Travel & Immunisation; Dispensary; Medical Tourism; Healthcare Events"",""Specialist clinics include Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics"",""In-house pharmacists provide complimentary tailored medication consultations and drug interaction checks"",""On-site dispensary available"",""Located 3 minutes' drive from Kotoka International Airport""]",Suite G05 Nester Square,Airport City,null,Accra,Greater Accra Region,Ghana,null,"[""+233303976965"",""+233209421856""]",info@acrecitymedics.com,"[""acrecitymedics.com""]",null,null,null,null,null,"Acrecity Medics runs a clinic in Airport City, Accra.",null,null,private,clinic,2026-03-23T18:11:18.453Z,2026-03-23T18:11:18.453Z
bdfcb6c1-93a9-4f1b-b49e-7b82e3e8e9ad,Accra Medical Centre,facility,"[""internalMedicine""]",null,null,"[""Provides internal medicine services""]",161 Ringway Estate,Osu Osu,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:11:19.998Z,2026-03-23T18:11:19.998Z
e88bc1ec-d694-4eae-a751-bf2dd7452bce,Accra Specialist Eye Hospital,facility,"[""ophthalmology"",""cataractAndAnteriorSegmentSurgery"",""glaucomaOphthalmology"",""retinaAndVitreoretinalOphthalmology"",""oculoplasticsAndReconstructiveOrbitalSurgery"",""eyeTraumaAndEmergencyEyeCare"",""corneaOphthalmology"",""refractiveSurgeryOphthalmology"",""internalMedicine""]","[""Offers general ophthalmology consultations"",""Performs cataract surgeries including micro-incision cataract surgery (phaco)"",""Offers laser eye surgeries"",""Performs glaucoma surgeries"",""Performs retina and vitreoretinal surgeries"",""Performs oculoplastic surgeries"",""Performs chalazion incision and curettage"",""Performs foreign body removal from the eye"",""Performs cornea transplant surgeries"",""Performs vitrectomy for retinal detachment and vitreous hemorrhage"",""Performs enucleation and evisceration"",""Performs combined cataract and retina detachment procedures (phaco-vitrectomy)"",""Provides pediatric eye care services"",""Provides optical services including refraction, contact lenses, and spectacle frames and lenses"",""Conducts visual field testing"",""Performs B-scan ocular ultrasonography"",""Provides fundus photography and fundus fluorescein angiography (FFA)"",""Performs gonioscopy"",""Uses optical coherence tomography (OCT) for macular and RNFL analysis"",""Provides macular OCT imaging"",""Performs Schirmer’s test"",""Performs Amsler grid testing"",""Performs color vision testing"",""Performs stereopsis testing"",""Performs keratoscopy"",""Performs cycloplegic refraction"",""Performs combined cataract and retina detachment procedures (phaco‑vitrectomy)""]","[""Has Optical Coherence Tomography (OCT) machine"",""Has OCT imaging with RNFL and macular analysis capabilities"",""Has fundus photography equipment"",""Has fundus fluorescein angiography (FFA) imaging capability"",""Has B-scan ocular ultrasonography device"",""Has gonioscopy equipment"",""Has visual field testing equipment"",""Optical Coherence Tomography (OCT) machine"",""OCT imaging with RNFL and macular analysis capabilities"",""Fundus photography equipment"",""Fundus fluorescein angiography (FFA) imaging capability"",""B-scan ocular ultrasonography device"",""Gonioscopy equipment"",""Visual field testing equipment""]","[""Staff includes ophthalmologists, surgeons, and eye care professionals"",""Has insurance partnerships with leading providers"",""Provides comprehensive clinical and diagnostic services"",""Offers advanced laser and cataract surgeries"",""Opening hours: Mon–Fri 8am–5pm; Sat 8:30am–1:30pm; Sun closed"",""Voted Best Eye Hospital in Ghana"",""Founded and managed under the guidance of Dr. Asiwome Kwesi Seneadza"",""Located at 49 Nii Ayi Kushie St, Tantra Hill, Accra"",""Phone number +23350 006 0545"",""Email hello@accraspecialisteye.com""]",49 Nii Ayi Kushie St,Tantra Hill,null,Accra,Greater Accra Region,Ghana,null,"[""+233500060545""]",hello@accraspecialisteye.com,"[""accraspecialisteye.com""]",null,null,null,null,null,"Excellence in Eye Care at Accra Specialist Eye Hospital. From advanced laser and cataract surgeries to comprehensive clinical and diagnostic services, we are here to meet all your eye care needs.",null,null,null,null,2026-03-23T18:11:26.186Z,2026-03-23T18:11:26.186Z
